Material ID,Composition,Band Gap,Calc Types
mp-23830,Cr1 H36 C12 S6 Cl3 O6,2.6565000000000003,"{'mp-818323': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-824121': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-25498': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1239338': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-23830': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1878853': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-824900': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>}"
mp-24280,Ga1 H36 C12 S6 I3 O6,3.052899999999999,"{'mp-742870': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-731807': <CalcType.GGA_Static: 'GGA Static'>, 'mp-24280': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1328459': <CalcType.GGA_Static: 'GGA Static'>, 'mp-749713': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-24281,In1 H36 C12 S6 I3 O6,2.5131,"{'mp-744984': <CalcType.GGA_Static: 'GGA Static'>, 'mp-749926': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-24281': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1364172': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1897500': <CalcType.GGA_Static: 'GGA Static'>, 'mp-750676': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-24764,Al1 H36 C12 S6 Cl3 O6,3.8105,"{'mp-727868': <CalcType.GGA_Static: 'GGA Static'>, 'mp-732684': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-24764': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1253771': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1256498': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1267896': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1324854': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1936683': <CalcType.GGA_Static: 'GGA Static'>, 'mp-737100': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-766473,Ni1 H36 C12 S6 I4 O6,1.8746,"{'mp-802551': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-767845': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-810075': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-766473': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-828224': <CalcType.GGA_Static: 'GGA Static'>, 'mp-830911': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1364560': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1894972': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-831778': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-810842': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>}"
mp-1196356,Ni2 H48 C12 S12 N28 O12,2.6647,"{'mp-1196356': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1987414': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1199368,Zn2 H20 C4 S4 N16 O12,3.4822,"{'mp-1199368': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1878167': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1985209': <CalcType.GGA_Static: 'GGA Static'>}"
mp-698354,P6 H36 Os2 C12 S12 O12,0.2016,"{'mp-1002370': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1003984': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-698354': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1049113': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1328165': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1848187': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1009367': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-698125,Np2 H32 C8 N16 Cl2 O12,0.429299999999999,"{'mp-698125': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1049137': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1361602': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1887503': <CalcType.GGA_Static: 'GGA Static'>}"
mp-698364,P6 H36 Ru2 C12 S12 O12,0.15660000000000002,"{'mp-698364': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1002374': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1003968': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1049117': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1329694': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1850872': <CalcType.GGA_Static: 'GGA Static'>}"
mp-735424,Ru4 C14 S20 N20 Cl16 O12,1.7207,"{'mp-738479': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-735424': <CalcType.GGA_Static: 'GGA Static'>, 'mp-745609': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-728403,Cr2 P6 H36 C12 S12 O12,2.6313,"{'mp-743545': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-818496': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-824400': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-728403': <CalcType.GGA_Static: 'GGA Static'>, 'mp-833817': <CalcType.GGA_Static: 'GGA Static'>, 'mp-840907': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1363722': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1844301': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-841856': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-825091': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>}"
mp-723065,H4 C4 S6 N4 O12 F12,5.8985,"{'mp-745272': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-723065': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-736275': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1335762': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1933923': <CalcType.GGA_Static: 'GGA Static'>, 'mp-747264': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-746355,Fe2 P6 H36 C12 S12 O12,1.7519,"{'mp-746355': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1049396': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1049461': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-1329910': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1847526': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1049551': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>}"
mp-2240064,Sr1 La1 Mg1 Nb1 Zn1 O6,1.775999999999999,{'mp-2240064': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-1192840,K2 Zn4 Cd2 B4 O12 F2,2.7164,"{'mp-1192840': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1428470': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1674834': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1837177': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1605384': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2173656': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2328749': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1199814,Ni2 H96 C36 S12 N28 O12,2.7386,{'mp-1199814': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>}
mp-1203248,Ti2 H48 C12 I6 N24 O12,0.0,"{'mp-1203248': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1237190': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1332153': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1192391,Rb2 Li4 Cd2 C4 O12 F2,3.2753,"{'mp-1192391': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1434540': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1675008': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1809774': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1195186,Rb2 La4 C12 N12 Cl2 O12,4.103999999999999,"{'mp-1195186': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1344684': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1681095': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1901591': <CalcType.GGA_Static: 'GGA Static'>, 'mp-2911915': <CalcType.r2SCAN_Structure_Optimization: 'r2SCAN Structure Optimization'>}"
mp-1200340,Mo4 H80 C28 N4 Cl4 O24,2.6576,"{'mp-1200340': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1984813': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-560721,Na4 Ca4 Be4 Si8 O24 F4,5.510999999999999,"{'mp-722520': <CalcType.GGA_Static: 'GGA Static'>, 'mp-734897': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1017984': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1017897': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-560721': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1134176': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1173707': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1255043': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1256194': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1263965': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1375941': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1879797': <CalcType.GGA_Static: 'GGA Static'>, 'mp-744501': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2902060': <CalcType.r2SCAN_Structure_Optimization: 'r2SCAN Structure Optimization'>}"
mp-1190989,Cu1 Au2 C4 N4 Cl4 O6,0.0,"{'mp-1190989': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1819900': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1197686,Ga2 Ge4 H10 C2 N2 O12,3.7018,"{'mp-1197686': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1842912': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1198893,Cu4 H64 C24 S16 N24 O24,0.6443,"{'mp-1198893': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1986808': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1199767,Mg1 B2 H42 C26 N14 O6,4.6876999999999995,"{'mp-1199767': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1202642': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1849442': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1987838': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1199714,Hg2 P10 H54 C22 O12 F12,0.1373,"{'mp-1199714': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1336432': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1204218,Sb8 H24 C4 S4 Cl24 O24,2.6062000000000003,"{'mp-1204218': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1327344': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1582960': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1204310,Ti2 H60 C20 S10 Cl4 O12,2.4561,"{'mp-1204310': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1334248': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1846697': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1629040': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1211023,Na2 Pd1 W6 S2 N2 O6,0.0,"{'mp-1211023': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1840843': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1212583,H16 Pd1 C4 S4 N10 O6,1.6554000000000002,"{'mp-1212583': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1237703': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1362244': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1821749': <CalcType.GGA_Static: 'GGA Static'>}"
mp-2229247,Mg1 Cu1 C2 S2 O6 F6,0.0,"{'mp-2229247': <CalcType.GGA_Static: 'GGA Static'>, 'mp-2229354': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}"
mp-1386711,Ga2 Ge4 H10 C2 N2 O12,0.0,"{'mp-1386711': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1760680': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1628128': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2101781': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2310768': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-553984,As2 P6 H36 C12 S12 O12,3.4417,"{'mp-669753': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-659896': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-656643': <CalcType.GGA_Static: 'GGA Static'>, 'mp-553984': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1328032': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1846548': <CalcType.GGA_Static: 'GGA Static'>}"
mp-557010,Cd1 As2 S18 N12 O6 F12,2.195,"{'mp-711428': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-694171': <CalcType.GGA_Static: 'GGA Static'>, 'mp-557010': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-717393': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1359130': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1847140': <CalcType.GGA_Static: 'GGA Static'>}"
mp-555028,Ag1 Sb1 Te6 S16 O6 F30,0.8025,"{'mp-740600': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-728670': <CalcType.GGA_Static: 'GGA Static'>, 'mp-555028': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1351072': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1685677': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1850337': <CalcType.GGA_Static: 'GGA Static'>, 'mp-748086': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-557494,Ag4 B4 Te16 C8 O24 F80,2.8918,"{'mp-705770': <CalcType.GGA_Static: 'GGA Static'>, 'mp-719337': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-715886': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-557494': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1366034': <CalcType.GGA_Static: 'GGA Static'>}"
mp-699459,Cs2 Li2 H8 S4 N4 O12,5.4996,"{'mp-740262': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-726687': <CalcType.GGA_Static: 'GGA Static'>, 'mp-699459': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1411905': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1819237': <CalcType.GGA_Static: 'GGA Static'>}"
mp-699447,Rb4 Li4 H16 S8 N8 O24,5.3729,"{'mp-699447': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-742917': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-731809': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1357491': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1908493': <CalcType.GGA_Static: 'GGA Static'>, 'mp-750297': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1219608,Rb1 La1 Ti1 Nb1 O6 F1,1.0761,"{'mp-1219608': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1391893': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1743831': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1779280': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1586674': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2099263': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2302283': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1219604,Rb1 Pr1 Ti1 Nb1 O6 F1,0.9506000000000001,"{'mp-1219604': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1444869': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1744463': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1778862': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1586626': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2099019': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2302225': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-2229452,Sr4 Mg1 Mn2 Cu2 S2 O6,0.0,{'mp-2229452': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>}
mp-2229142,Sr4 Mg1 V2 Fe2 As2 O6,0.0,{'mp-2229142': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>}
mp-2229607,Sr4 Mg1 V2 Fe2 As2 O6,0.0,{'mp-2229607': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>}
mp-1202069,Fe8 P8 N8 Cl8 O24 F12,0.0,"{'mp-1202069': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1350562': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1851509': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-2226471,Cs2 Mg1 Mn1 V2 Cl2 O6,1.487999999999999,"{'mp-2226471': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-2226473': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>}"
mp-2228502,Cs2 Mg1 Mn1 V2 Br2 O6,0.0,"{'mp-2228502': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-2228557': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-697127,K6 H2 Pd2 S4 Cl4 O12,2.0652,"{'mp-697127': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-731919': <CalcType.GGA_Static: 'GGA Static'>, 'mp-742957': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1384293': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1734707': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1937164': <CalcType.GGA_Static: 'GGA Static'>, 'mp-750302': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1622974': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2114472': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2307710': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-706983,K6 H2 Pt2 S4 Cl4 O12,3.0173,"{'mp-733168': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-706983': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-728523': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1118006': <CalcType.GGA_DFPT_Dielectric: 'GGA DFPT Dielectric'>, 'mp-1390752': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1754730': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1884058': <CalcType.GGA_Static: 'GGA Static'>, 'mp-737664': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1637240': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2109442': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2306902': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1233942,Ba6 Mg1 Sc2 C2 O6 F14,0.0,{'mp-1233942': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-699460,K2 Li2 H8 S4 N4 O12,5.4928,"{'mp-726685': <CalcType.GGA_Static: 'GGA Static'>, 'mp-699460': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-860532': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1401394': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1842178': <CalcType.GGA_Static: 'GGA Static'>}"
mp-757310,Zn2 P4 H28 C4 N12 O12,5.0041,"{'mp-757310': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-850601': <CalcType.GGA_Static: 'GGA Static'>, 'mp-851364': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1355568': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1877139': <CalcType.GGA_Static: 'GGA Static'>, 'mp-853413': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-2240253,Sr1 La1 Mg1 Nb1 Zn1 O6,0.0,{'mp-2240253': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-1234212,Ba6 Mg1 Sc2 C2 O6 F14,4.0884,{'mp-1234212': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-562114,V8 Co4 H16 C16 N8 O24,2.1803,"{'mp-679588': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-603725': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-664575': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-562114': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-562831': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1351088': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1894229': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1179600,Zn4 H64 C16 S16 N40 O24,1.2976,{'mp-1179600': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-706601,Zn4 H64 C16 S16 N40 O24,0.202299999999999,"{'mp-939578': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1002318': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1003824': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-706601': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1338041': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1233960,Ba6 Mg1 Sc2 C2 O6 F14,1.0838,{'mp-1233960': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-1234262,Ba6 Mg1 Sc2 C2 O6 F14,0.8186999999999991,{'mp-1234262': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-1233740,Ba6 Mg1 Sc2 C2 O6 F14,1.3854,{'mp-1233740': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-2231619,Mg1 Zn2 Cu2 H6 Cl2 O6,0.36860000000000004,{'mp-2231619': <CalcType.GGA_Static: 'GGA Static'>}
mp-1198870,Cd8 H32 C8 S16 N16 O48,0.0,"{'mp-1198870': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1335389': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1200387,Na8 Fe8 P8 H16 C16 O48,3.6274,"{'mp-1200387': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1325764': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1202889,Na8 Zn8 P8 H16 C16 O48,4.4997,"{'mp-1202889': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1237863': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1328495': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1847973': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1583781': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-707509,Cu4 H24 Se8 N4 Cl4 O24,0.3301,"{'mp-707509': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1002335': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1003949': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1049319': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1049177': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1354555': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1897349': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1009302': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-728693,Co4 Ni4 H48 C16 N16 O24,2.8263,"{'mp-744562': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-818447': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-824350': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-728693': <CalcType.GGA_Static: 'GGA Static'>, 'mp-833780': <CalcType.GGA_Static: 'GGA Static'>, 'mp-840788': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1335427': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1195446,Co2 H48 C12 Br4 N8 O12,2.5201000000000002,"{'mp-1195446': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1334602': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1851078': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1629370': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>}"
mp-1220925,Na2 Pr2 Ti2 Nb2 O12 F2,2.7726,"{'mp-1220925': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1366653': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1934843': <CalcType.GGA_Static: 'GGA Static'>}"
